bfenr,grundindeks,antalgrunde,grundid,husnummerid
100077263,2,1,013943c1-b2da-4acf-90bf-7c7c691a06a8,
100077263,2,2,fd4e3ca6-8354-47dd-ae1f-78e4b5ca8f03,7292f4d5-f86f-4b05-aebb-a9065d517c51
100058732,2,1,16d5cac2-2378-47c0-8ce0-994560d0e90f,
100058732,2,2,56a82693-1666-4b2e-ab2d-496fe871f063,0a3f507a-51d0-32b8-e044-0003ba298018
100000213,1,1,4e406fd9-f5ac-41b9-8136-7dfe0eeebbe1,4591b5f9-a6a7-0dd9-e044-0003ba298018
10037266,1,1,23d610dc-45c8-42b0-a23b-35b8a31402de,2b190e33-7d8d-3634-e044-0003ba298018
10178017,1,1,1b2319d1-2a04-4f84-82ed-2b78113be59e,16bed59f-958a-1efc-e044-0003ba298018
10178040,1,1,c7183519-6776-4677-a5aa-c4967426de24,16bed59f-956e-1efc-e044-0003ba298018
10178055,1,1,44965b06-7cc4-4b27-9744-52a49d1ddd72,16bed59f-9562-1efc-e044-0003ba298018
10069976,1,1,ebbba578-c185-4c3d-b71d-024663992c23,2edda757-900d-1605-e044-0003ba298018
10069994,1,1,a2c0966a-6eb2-4a16-b1b1-31cfac4ef469,2edda757-9033-1605-e044-0003ba298018
10070020,1,1,0441a340-c375-487e-ba84-cc427912673b,2edda757-9019-1605-e044-0003ba298018
10070038,1,1,7595a60f-f809-432a-874c-c2c23791f7ad,362e6b23-4bf1-0f9b-e044-0003ba298018
10100897,1,1,a91cbabe-919e-44d8-a733-1886d5ac1033,0a3f507a-7617-32b8-e044-0003ba298018
10100906,1,1,6be634a2-de6d-4729-8c69-35df5c6d25e5,0a3f507a-7620-32b8-e044-0003ba298018
10102348,1,1,8e082d24-b6e3-463f-8e6c-9ae1ce121c46,3cae7253-0863-0f90-e044-0003ba298018
10102365,1,1,9952bb26-ae13-47a7-bcaf-1822454c762a,3cae7253-0880-0f90-e044-0003ba298018
100077263,2,1,013943c1-b2da-4acf-90bf-7c7c691a06a8,
100077263,2,2,fd4e3ca6-8354-47dd-ae1f-78e4b5ca8f03,7292f4d5-f86f-4b05-aebb-a9065d517c51
10177999,1,1,dbdc9917-7a10-4bba-8dc0-0bee3e8ee496,16bed59f-95a3-1efc-e044-0003ba298018
10178030,1,1,a5dda62b-bdfa-44b5-833f-a8e0a0129136,16bed59f-9584-1efc-e044-0003ba298018
10178037,1,1,4924314e-f8e2-4b05-beb5-61609e8d0eb4,16bed59f-957d-1efc-e044-0003ba298018
10178059,1,1,02057941-bd9f-4c7f-ac00-1bafee5eaa31,16bed59f-956b-1efc-e044-0003ba298018
10069988,1,1,f93f7dbc-4c63-41c4-a96e-4c5d7a7d5435,2edda757-9001-1605-e044-0003ba298018
10070011,1,1,2f983e3e-5f02-4dde-91ae-47bd9b94272f,2edda757-9022-1605-e044-0003ba298018
10070026,1,1,2de0fe08-31b4-4868-aebc-5738081020bb,2edda757-9012-1605-e044-0003ba298018
10070055,1,1,2c96250c-806d-4d43-9597-0093589af1c0,362e6b23-4bda-0f9b-e044-0003ba298018
10100916,1,1,3e963355-4aec-4ad0-b46b-c7880c3281e7,0a3f507a-762a-32b8-e044-0003ba298018
7944670,1,1,41f56fbf-fa74-48f8-b14c-710b5c2b8a73,0a3f507a-d602-32b8-e044-0003ba298018
10272375,1,1,555c37ff-3d6d-4007-9502-87e9ddc1220e,0a3f507a-72f4-32b8-e044-0003ba298018
6017861,1,1,8af7305a-f509-4faa-b8af-bfc309c0d61a,0a3f507a-6a97-32b8-e044-0003ba298018
6022175,1,1,2c4b0c26-4331-40a6-b7de-48eed9687be8,0a3f507a-b541-32b8-e044-0003ba298018
10178016,1,1,2751e6cb-0823-4cfe-b6f0-f02306886534,16bed59f-958b-1efc-e044-0003ba298018
10178028,1,1,c6a97e65-cf48-4403-b511-d510c9d0fb54,16bed59f-9586-1efc-e044-0003ba298018
10178050,1,1,7308d5ae-ba62-4572-ac2e-6cfcf5d4d972,16bed59f-9578-1efc-e044-0003ba298018
10069987,1,1,31b9b9e6-b1a0-4f44-87b4-94418ebc4073,2edda757-9002-1605-e044-0003ba298018
10070009,1,1,13e83e71-7e05-4c31-80c2-b3e97d22acc1,2edda757-9024-1605-e044-0003ba298018
10070031,1,1,2553d756-8576-4a11-942d-d518a1fd5d00,362e6b23-4bf8-0f9b-e044-0003ba298018
10070042,1,1,8b36173e-062d-4136-847c-b67fa1ca5526,362e6b23-4bed-0f9b-e044-0003ba298018
10100907,1,1,29151075-41a6-4c19-bc50-012f0b8da356,0a3f507a-7621-32b8-e044-0003ba298018
10102367,1,1,162c386c-7c76-49c0-8825-d48359a9b655,3cae7253-0882-0f90-e044-0003ba298018
10102377,1,1,30bd9f3d-f3f8-4b89-ad8e-ed73d472b373,3cae7253-088c-0f90-e044-0003ba298018
6014079,4,1,03fdf79e-0259-46bb-91c0-839a092bbda8,1357eb80-9ba4-3d79-e044-0003ba298018
6014079,4,2,27716012-372d-4c26-8bff-936c9f647dbc,1357eb80-9ba4-3d79-e044-0003ba298018
6014079,4,3,784615ca-eca2-4f01-b59f-5a69e1483de6,1357eb80-9ba4-3d79-e044-0003ba298018
6014079,4,4,fcbd1fb4-95d5-4746-bf08-8b5f8e98bff1,1357eb80-9ba4-3d79-e044-0003ba298018
10252513,1,1,8933d126-43d6-415e-8f97-6a6530e52c7f,1b231335-6eaa-461c-e044-0003ba298018
6034325,1,1,22af3903-721c-4012-8156-9ee2ef691641,0a3f507a-3697-32b8-e044-0003ba298018
100050284,2,1,4c306469-e7e6-4adf-b9c8-7063b2875612,
100050284,2,2,5ca706f9-ca50-4876-825a-80b24d6356d1,0a3f507a-7ccd-32b8-e044-0003ba298018
100050314,2,1,1c46b61c-1aa3-49ea-b43c-bee1b92f5715,
100050314,2,2,e3afa4d1-baf9-436f-9e79-d61e8311945a,0a3f507a-7cd4-32b8-e044-0003ba298018
6034338,1,1,ec6fe6b0-8f6e-45e2-9a33-ed20e7dace84,0a3f507a-36b1-32b8-e044-0003ba298018
100058732,2,1,16d5cac2-2378-47c0-8ce0-994560d0e90f,
100058732,2,2,56a82693-1666-4b2e-ab2d-496fe871f063,0a3f507a-51d0-32b8-e044-0003ba298018
6012892,1,1,ddc63877-f8eb-49b3-810a-374ea42b2bc1,0a3f507a-3761-32b8-e044-0003ba298018
100062217,2,1,20ea84de-bb72-4930-89b8-1f42198f88f2,
100062217,2,2,f6d8c63d-ca04-462a-a021-d011dd6ad5ff,0a3f507a-797d-32b8-e044-0003ba298018
6000351,1,1,97b398fc-8127-473b-9d59-cbd8993a83ef,0a3f507b-1fab-32b8-e044-0003ba298018
6014012,1,1,5bea1fd8-8cae-4246-b877-1658cd2f0853,0a3f507a-3949-32b8-e044-0003ba298018
10272518,1,1,3520369e-1bab-4c99-80c8-7acf680f54af,0a3f507b-29bb-32b8-e044-0003ba298018
6021941,1,1,b7d3eb6c-96c4-459c-8831-3876c1689ea7,0a3f507a-b6a2-32b8-e044-0003ba298018
6024335,1,1,274a5c08-d535-4b75-b622-5c5e1cfa094a,0a3f507a-3670-32b8-e044-0003ba298018
6034317,1,1,94814ecb-28c8-4768-9d49-03b3170b5ce7,0a3f507a-3687-32b8-e044-0003ba298018
100050290,2,1,087767ff-0288-4a8c-8c6b-3aa7effc1264,0a3f507a-7cd9-32b8-e044-0003ba298018
100050290,2,2,64caa585-7cb9-4e1a-888e-7cbf67466a73,
100050299,2,1,4f6e9e45-df69-4cf3-8f59-4a3074cf8a94,0a3f507b-2cf1-32b8-e044-0003ba298018
100050299,2,2,d97bc606-0d7f-4108-98d1-e5e045773d21,
6023972,1,1,bf384a64-51fb-4a91-89b0-b09a19a4b32f,0a3f507a-36d0-32b8-e044-0003ba298018
6000650,1,1,ffd10905-1ede-449f-afb4-3c197fab0f7a,0a3f507a-36f6-32b8-e044-0003ba298018
6012902,1,1,787dee55-891b-49fd-b861-8f6140e431af,0a3f507a-374d-32b8-e044-0003ba298018
100062210,2,1,54505597-c621-4672-a29d-ede3c7efd19d,0a3f507a-eeed-32b8-e044-0003ba298018
100062210,2,2,c1c42ba5-30f5-45ac-b86d-a41fd87b4107,
100067088,1,1,d380ab8d-c528-43b7-a756-291ce154c716,0a3f507a-8544-32b8-e044-0003ba298018
6015510,1,1,c8387932-016c-4881-9b71-27d83d8ea414,0a3f507a-37c3-32b8-e044-0003ba298018
6017860,1,1,a6c50124-07e1-4e35-b64d-c7c049b99c34,0a3f507a-6a93-32b8-e044-0003ba298018
6034331,1,1,235eb9d4-04f7-4559-94af-d0f15b250642,0a3f507a-36a3-32b8-e044-0003ba298018
100050311,2,1,38a9e5c3-3069-44a8-b8fc-95a1b788579a,
100050311,2,2,cad5c1c8-afd0-4c3b-badc-5e9be3daeafc,0a3f507a-7cce-32b8-e044-0003ba298018
6015655,1,1,6f0ad67b-e083-48c0-bcef-e6c0c90f5eaf,0a3f507a-372a-32b8-e044-0003ba298018
100058759,1,1,eadab4a8-0cd5-4629-a79c-f9d5abb169c0,0a3f507a-7adc-32b8-e044-0003ba298018
100064410,1,1,e8068122-4b12-4334-8502-67dc98e0c760,fd2a1be8-9107-4a54-946d-fc6b0cbec6c7
100067432,1,1,81d5ae92-3e88-49b8-a8b6-83e564c6929b,0a3f507a-8540-32b8-e044-0003ba298018
100074632,1,1,97aa4c75-13f7-42a8-8232-617fa84a6ea6,0a3f507a-5dec-32b8-e044-0003ba298018
6014778,1,1,33f1e1b2-c0c6-48c6-844d-e363a1b5c62b,0a3f507a-4852-32b8-e044-0003ba298018
6012124,1,1,8a78dfa2-6105-4a42-9597-7002012f1739,0a3f507a-388e-32b8-e044-0003ba298018
100078167,1,1,cae9539a-5e05-4349-87c7-049b971a83b2,0a3f507a-cd53-32b8-e044-0003ba298018
6013224,1,1,1a603909-7900-4a36-87b9-6c6d5de5ab00,0a3f507a-39ac-32b8-e044-0003ba298018
8105663,1,1,23ea349f-77b1-4cef-9212-f91e65e30ef9,0a3f507a-a21f-32b8-e044-0003ba298018
6000801,1,1,437e140c-94a7-45ad-a68e-225a6849fee7,0a3f507a-3aff-32b8-e044-0003ba298018
6026489,1,1,54eb67f6-f307-4838-b971-cce0354c1e17,0a3f507a-3b95-32b8-e044-0003ba298018
6033604,1,1,4e9ad40f-6153-4fdf-84a0-49c03c14c7f6,0a3f507a-c9a8-32b8-e044-0003ba298018
6030617,1,1,92467e4d-ac4c-44e6-84bb-9902ee3a59e7,0a3f507a-3cca-32b8-e044-0003ba298018
6011726,1,1,eb8d218b-d538-4f68-b2f2-ed6be8dead1e,0a3f507a-392c-32b8-e044-0003ba298018
6014575,1,1,0c288006-9221-460d-9a8a-cdf054234463,0a3f507a-39b0-32b8-e044-0003ba298018
6017014,1,1,1968bbbc-9ff1-4a82-b0f3-92d6cab4ee21,0a3f507a-3a92-32b8-e044-0003ba298018
6026460,1,1,1f161355-9672-424c-87e8-7ce512c4bfc5,0a3f507a-3ba0-32b8-e044-0003ba298018
6014691,2,1,51791a2e-4c1c-4876-a98b-3869804a40d8,0a3f507a-3c0c-32b8-e044-0003ba298018
6014691,2,2,efdc9ea1-9d32-427a-886f-94726986fb76,0a3f507a-3c0c-32b8-e044-0003ba298018
6021557,1,1,21dbce36-ad78-4f30-9ef0-09d4331c733b,0a3f507a-3c97-32b8-e044-0003ba298018
6017451,1,1,baa6536b-ed2b-4ad3-bd7c-aea50aa7ed5a,0a3f507a-3d04-32b8-e044-0003ba298018
6017248,1,1,f932c164-2d18-4f69-b1ee-8dee19517bac,0a3f507a-3d18-32b8-e044-0003ba298018
6003881,1,1,18035be3-41dc-4135-9cc8-0996c66be568,0a3f507a-3f16-32b8-e044-0003ba298018
6033655,1,1,6fe56e0f-3734-483b-9793-681e8e754732,0a3f507a-3fcd-32b8-e044-0003ba298018
6017217,1,1,61ebae75-037b-44fc-aaa0-59e845f5598d,0a3f507a-4051-32b8-e044-0003ba298018
10178003,1,1,2e4ea5c2-2b7b-43c2-89c8-4bb085faa933,16bed59f-959b-1efc-e044-0003ba298018
10178014,1,1,03632185-b227-47f7-9172-56b1659b310c,16bed59f-958d-1efc-e044-0003ba298018
10178044,1,1,b8180cd7-b26d-447a-8ee8-35522a74876d,16bed59f-9572-1efc-e044-0003ba298018
10069977,1,1,913c2c18-d8be-40e5-8969-f1d4160ae97d,2edda757-900c-1605-e044-0003ba298018
10070000,1,1,0f7952c9-e0a5-4deb-9943-925716888407,2edda757-902d-1605-e044-0003ba298018
10070014,1,1,68c72796-6291-4d0f-8885-2c3535911935,2edda757-901f-1605-e044-0003ba298018
10070048,1,1,d416770b-3970-4b2d-9023-dc0550351136,362e6b23-4be3-0f9b-e044-0003ba298018
10100908,1,1,f1911892-b38b-4682-aa22-4be0b8e59a94,0a3f507a-7622-32b8-e044-0003ba298018
10102350,1,1,01e7e8c0-b09d-40d5-ac24-59f06a599620,3cae7253-0861-0f90-e044-0003ba298018
7947950,1,1,ba815b7b-fa51-4742-9476-c57ed765b816,0a3f507a-81cb-32b8-e044-0003ba298018
10272311,1,1,02e76bfc-53a6-4cd8-8f0c-315033494621,3cae7253-082d-0f90-e044-0003ba298018
10252515,1,1,c516d2c6-4378-4742-ab61-da695c66e8ba,1b231335-6eac-461c-e044-0003ba298018
6014195,1,1,8a12c859-4e19-4459-a107-dfe96d7c5bca,0a3f507a-390a-32b8-e044-0003ba298018
6013226,1,1,d36a6e7b-3804-4b8d-81a0-59d3f082c967,0a3f507a-39a9-32b8-e044-0003ba298018
6017015,1,1,1113f6b6-4640-4001-9b7e-5bd319008dc2,0a3f507a-3a8a-32b8-e044-0003ba298018
6000805,1,1,b6b9f537-a567-490a-84d8-246f64ce42aa,0a3f507a-3b16-32b8-e044-0003ba298018
6014706,2,1,3a8d9069-2eab-484a-9220-78a4aae03520,0a3f507a-3c05-32b8-e044-0003ba298018
6014706,2,2,4fc5863e-f3e0-47ca-a8e8-64f5b7005f32,0a3f507a-3c05-32b8-e044-0003ba298018
6033578,1,1,cdad265a-133e-4adc-95b5-81d87f9f24cc,0a3f507a-3c30-32b8-e044-0003ba298018
6032862,1,1,3f9eebf9-9f14-4238-aba2-96c163c069a6,0a3f507a-3ccd-32b8-e044-0003ba298018
6017260,1,1,3f80a3a1-4ddc-48e5-9f92-433f241cdf93,0a3f507a-3d15-32b8-e044-0003ba298018
6017344,1,1,c478fa63-c80f-448a-8bd4-bc2872976afa,0a3f507a-3dc6-32b8-e044-0003ba298018
